Company,Current Price,Volatility,Risk Level
ADVENZYMES,"Ticker
ADVENZYMES.NS    270.25
Name: 2025-04-07 00:00:00, dtype: float64",0.02617,Medium
AEGISLOG,"Ticker
AEGISLOG.NS    794.5
Name: 2025-04-07 00:00:00, dtype: float64",0.0405,High
AEROFLEX,"Ticker
AEROFLEX.NS    166.55
Name: 2025-04-07 00:00:00, dtype: float64",0.04148,High
AETHER,"Ticker
AETHER.NS    807.15
Name: 2025-04-07 00:00:00, dtype: float64",0.02238,Medium
AFCONS,"Ticker
AFCONS.NS    426.4
Name: 2025-04-07 00:00:00, dtype: float64",0.02918,Medium
AFFLE,"Ticker
AFFLE.NS    1447.85
Name: 2025-04-07 00:00:00, dtype: float64",0.02455,Medium
AFFORDABLE,"Ticker
AFFORDABLE.NS    382.1
Name: 2025-04-07 00:00:00, dtype: float64",0.02699,Medium
AFIL,"Ticker
AFIL.NS    74.91
Name: 2025-04-07 00:00:00, dtype: float64",0.03813,High
AFSL,"Ticker
AFSL.NS    180.0
Name: 2025-04-07 00:00:00, dtype: float64",0.0278,Medium
AGARIND,"Ticker
AGARIND.NS    918.9
Name: 2025-04-07 00:00:00, dtype: float64",0.02881,Medium
AGARWALEYE,"Ticker
AGARWALEYE.NS    417.3
Name: 2025-04-07 00:00:00, dtype: float64",0.02298,Medium
AGI,"Ticker
AGI.NS    734.1
Name: 2025-04-07 00:00:00, dtype: float64",0.03855,High
AGIIL,"Ticker
AGIIL.NS    702.9
Name: 2025-04-07 00:00:00, dtype: float64",0.02789,Medium
AGRITECH,"Ticker
AGRITECH.NS    130.83
Name: 2025-04-07 00:00:00, dtype: float64",0.03477,High
AGROPHOS,"Ticker
AGROPHOS.NS    28.94
Name: 2025-04-07 00:00:00, dtype: float64",0.03389,High
AGSTRA,"Ticker
AGSTRA.NS    6.56
Name: 2025-04-07 00:00:00, dtype: float64",0.03262,High
AHLADA,"Ticker
AHLADA.NS    56.1
Name: 2025-04-07 00:00:00, dtype: float64",0.03408,High
AHLEAST,"Ticker
AHLEAST.NS    131.88
Name: 2025-04-07 00:00:00, dtype: float64",0.027,Medium
AHLUCONT,"Ticker
AHLUCONT.NS    798.35
Name: 2025-04-07 00:00:00, dtype: float64",0.02317,Medium
AIAENG,"Ticker
AIAENG.NS    3091.3
Name: 2025-04-07 00:00:00, dtype: float64",0.01358,Low
AIIL,"Ticker
AIIL.NS    1513.4
Name: 2025-04-07 00:00:00, dtype: float64",0.03358,High
AIRAN,"Ticker
AIRAN.NS    26.03
Name: 2025-04-07 00:00:00, dtype: float64",0.03602,High
AIROLAM,"Ticker
AIROLAM.NS    90.74
Name: 2025-04-07 00:00:00, dtype: float64",0.03397,High
AJANTPHARM,"Ticker
AJANTPHARM.NS    2374.45
Name: 2025-04-07 00:00:00, dtype: float64",0.02468,Medium
AJAXENGG,"Ticker
AJAXENGG.NS    581.55
Name: 2025-04-07 00:00:00, dtype: float64",0.02327,Medium
AJMERA,"Ticker
AJMERA.NS    823.2
Name: 2025-04-07 00:00:00, dtype: float64",0.03827,High
AJOONI,"Ticker
AJOONI.NS    5.51
Name: 2025-04-07 00:00:00, dtype: float64",0.03019,High
AKASH,"Ticker
AKASH.NS    24.43
Name: 2025-04-07 00:00:00, dtype: float64",0.03123,High
AKG,"Ticker
AKG.NS    12.84
Name: 2025-04-07 00:00:00, dtype: float64",0.02649,Medium
AKI,"Ticker
AKI.NS    8.08
Name: 2025-04-07 00:00:00, dtype: float64",0.03017,High
AKSHAR,"Ticker
AKSHAR.NS    0.54
Name: 2025-04-07 00:00:00, dtype: float64",0.02953,Medium
AKSHARCHEM,"Ticker
AKSHARCHEM.NS    202.75
Name: 2025-04-07 00:00:00, dtype: float64",0.02425,Medium
AKSHOPTFBR,"Ticker
AKSHOPTFBR.NS    10.08
Name: 2025-04-07 00:00:00, dtype: float64",0.04815,High
AKUMS,"Ticker
AKUMS.NS    421.4
Name: 2025-04-07 00:00:00, dtype: float64",0.03139,High
AKZOINDIA,"Ticker
AKZOINDIA.NS    3403.1
Name: 2025-04-07 00:00:00, dtype: float64",0.02919,Medium
ALANKIT,"Ticker
ALANKIT.NS    14.11
Name: 2025-04-07 00:00:00, dtype: float64",0.03179,High
