Company,Current Price,Volatility,Risk Level
PEL,"Ticker
PEL.NS   954.80
Name: 2025-04-07 00:00:00, dtype: float64",0.02473,Medium
IOLCP,"Ticker
IOLCP.NS   59.78
Name: 2025-04-07 00:00:00, dtype: float64",0.02668,Medium
GANGESSECU,"Ticker
GANGESSECU.NS   137.34
Name: 2025-04-07 00:00:00, dtype: float64",0.03651,High
CANTABIL,"Ticker
CANTABIL.NS   242.25
Name: 2025-04-07 00:00:00, dtype: float64",0.0309,High
KAJARIACER,"Ticker
KAJARIACER.NS   785.10
Name: 2025-04-07 00:00:00, dtype: float64",0.01691,Medium
PRICOLLTD,"Ticker
PRICOLLTD.NS   411.60
Name: 2025-04-07 00:00:00, dtype: float64",0.0227,Medium
BIOCON,"Ticker
BIOCON.NS   307.50
Name: 2025-04-07 00:00:00, dtype: float64",0.02435,Medium
GENUSPOWER,"Ticker
GENUSPOWER.NS   265.95
Name: 2025-04-07 00:00:00, dtype: float64",0.03294,High
ITCHOTELS,"Ticker
ITCHOTELS.NS   195.75
Name: 2025-04-07 00:00:00, dtype: float64",0.02981,Medium
MUTHOOTCAP,"Ticker
MUTHOOTCAP.NS   250.17
Name: 2025-04-07 00:00:00, dtype: float64",0.02435,Medium
RBA,"Ticker
RBA.NS   66.28
Name: 2025-04-07 00:00:00, dtype: float64",0.02254,Medium
FINPIPE,"Ticker
FINPIPE.NS   175.65
Name: 2025-04-07 00:00:00, dtype: float64",0.02435,Medium
MEDICO,"Ticker
MEDICO.NS   56.00
Name: 2025-04-07 00:00:00, dtype: float64",0.04285,High
RSYSTEMS,"Ticker
RSYSTEMS.NS   293.95
Name: 2025-04-07 00:00:00, dtype: float64",0.0253,Medium
PRIVISCL,"Ticker
PRIVISCL.NS   1693.50
Name: 2025-04-07 00:00:00, dtype: float64",0.02396,Medium
ZENTEC,"Ticker
ZENTEC.NS   1377.20
Name: 2025-04-07 00:00:00, dtype: float64",0.04156,High
SUVEN,"Ticker
SUVEN.NS   118.81
Name: 2025-04-07 00:00:00, dtype: float64",0.03763,High
ORIENTELEC,"Ticker
ORIENTELEC.NS   197.17
Name: 2025-04-07 00:00:00, dtype: float64",0.02804,Medium
ZYDUSWELL,"Ticker
ZYDUSWELL.NS   1682.00
Name: 2025-04-07 00:00:00, dtype: float64",0.01774,Medium
SUNDROP,"Ticker
SUNDROP.NS   760.60
Name: 2025-04-07 00:00:00, dtype: float64",0.03983,High
SPORTKING,"Ticker
SPORTKING.NS   85.94
Name: 2025-04-07 00:00:00, dtype: float64",0.0353,High
SPCENET,"Ticker
SPCENET.NS   7.07
Name: 2025-04-07 00:00:00, dtype: float64",0.04649,High
GOKUL,"Ticker
GOKUL.NS   41.25
Name: 2025-04-07 00:00:00, dtype: float64",0.02958,Medium
NIVABUPA,"Ticker
NIVABUPA.NS   71.73
Name: 2025-04-07 00:00:00, dtype: float64",0.03454,High
BALAMINES,"Ticker
BALAMINES.NS   1168.20
Name: 2025-04-07 00:00:00, dtype: float64",0.02486,Medium
SOLARINDS,"Ticker
SOLARINDS.NS   10645.25
Name: 2025-04-07 00:00:00, dtype: float64",0.02338,Medium
RPPINFRA,"Ticker
RPPINFRA.NS   150.14
Name: 2025-04-07 00:00:00, dtype: float64",0.03812,High
SMCGLOBAL,"Ticker
SMCGLOBAL.NS   106.11
Name: 2025-04-07 00:00:00, dtype: float64",0.02574,Medium
DEN,"Ticker
DEN.NS   29.43
Name: 2025-04-07 00:00:00, dtype: float64",0.02545,Medium
PSPPROJECT,"Ticker
PSPPROJECT.NS   630.20
Name: 2025-04-07 00:00:00, dtype: float64",0.01797,Medium
FCONSUMER,"Ticker
FCONSUMER.NS   0.48
Name: 2025-04-07 00:00:00, dtype: float64",0.01934,Medium
DBSTOCKBRO,"Ticker
DBSTOCKBRO.NS   26.82
Name: 2025-04-07 00:00:00, dtype: float64",0.02357,Medium
ARCHIES,"Ticker
ARCHIES.NS   16.74
Name: 2025-04-07 00:00:00, dtype: float64",0.03078,High
BAJAJHFL,"Ticker
BAJAJHFL.NS   118.08
Name: 2025-04-07 00:00:00, dtype: float64",0.02373,Medium
ROUTE,"Ticker
ROUTE.NS   921.20
Name: 2025-04-07 00:00:00, dtype: float64",0.01831,Medium
KIRLOSIND,"Ticker
KIRLOSIND.NS   3321.55
Name: 2025-04-07 00:00:00, dtype: float64",0.02565,Medium
AGARWALEYE,"Ticker
AGARWALEYE.NS   417.30
Name: 2025-04-07 00:00:00, dtype: float64",0.02298,Medium
KPIL,"Ticker
KPIL.NS   868.75
Name: 2025-04-07 00:00:00, dtype: float64",0.02541,Medium
LOTUSEYE,"Ticker
LOTUSEYE.NS   65.74
Name: 2025-04-07 00:00:00, dtype: float64",0.02724,Medium
NYKAA,"Ticker
NYKAA.NS   171.30
Name: 2025-04-07 00:00:00, dtype: float64",0.01751,Medium
ZUARIIND,"Ticker
ZUARIIND.NS   237.82
Name: 2025-04-07 00:00:00, dtype: float64",0.02982,Medium
SURAKSHA,"Ticker
SURAKSHA.NS   267.40
Name: 2025-04-07 00:00:00, dtype: float64",0.0276,Medium
PSB,"Ticker
PSB.NS   25.55
Name: 2025-04-07 00:00:00, dtype: float64",0.03597,High
BANKA,"Ticker
BANKA.NS   69.21
Name: 2025-04-07 00:00:00, dtype: float64",0.0431,High
PUNJABCHEM,"Ticker
PUNJABCHEM.NS   943.65
Name: 2025-04-07 00:00:00, dtype: float64",0.03305,High
ARKADE,"Ticker
ARKADE.NS   145.42
Name: 2025-04-07 00:00:00, dtype: float64",0.03369,High
PARAGMILK,"Ticker
PARAGMILK.NS   172.84
Name: 2025-04-07 00:00:00, dtype: float64",0.03131,High
JUSTDIAL,"Ticker
JUSTDIAL.NS   795.35
Name: 2025-04-07 00:00:00, dtype: float64",0.02976,Medium
VIPCLOTHNG,"Ticker
VIPCLOTHNG.NS   33.56
Name: 2025-04-07 00:00:00, dtype: float64",0.03407,High
FLAIR,"Ticker
FLAIR.NS   231.54
Name: 2025-04-07 00:00:00, dtype: float64",0.02978,Medium
BAIDFIN,"Ticker
BAIDFIN.NS   9.97
Name: 2025-04-07 00:00:00, dtype: float64",0.03075,High
MODTHREAD,"Ticker
MODTHREAD.NS   36.49
Name: 2025-04-07 00:00:00, dtype: float64",0.0313,High
UNIVCABLES,"Ticker
UNIVCABLES.NS   436.55
Name: 2025-04-07 00:00:00, dtype: float64",0.03518,High
WELENT,"Ticker
WELENT.NS   463.95
Name: 2025-04-07 00:00:00, dtype: float64",0.02716,Medium
SWANENERGY,"Ticker
SWANENERGY.NS   383.15
Name: 2025-04-07 00:00:00, dtype: float64",0.03843,High
SFL,"Ticker
SFL.NS   685.55
Name: 2025-04-07 00:00:00, dtype: float64",0.01969,Medium
KNRCON,"Ticker
KNRCON.NS   217.51
Name: 2025-04-07 00:00:00, dtype: float64",0.02815,Medium
DELHIVERY,"Ticker
DELHIVERY.NS   268.35
Name: 2025-04-07 00:00:00, dtype: float64",0.02239,Medium
GENSOL,"Ticker
GENSOL.NS   154.74
Name: 2025-04-07 00:00:00, dtype: float64",0.03871,High
SSDL,"Ticker
SSDL.NS   84.46
Name: 2025-04-07 00:00:00, dtype: float64",0.02955,Medium
ABSLAMC,"Ticker
ABSLAMC.NS   633.80
Name: 2025-04-07 00:00:00, dtype: float64",0.02582,Medium
KARMAENG,"Ticker
KARMAENG.NS   50.18
Name: 2025-04-07 00:00:00, dtype: float64",0.03839,High
AARTIDRUGS,"Ticker
AARTIDRUGS.NS   321.75
Name: 2025-04-07 00:00:00, dtype: float64",0.02327,Medium
JOCIL,"Ticker
JOCIL.NS   136.15
Name: 2025-04-07 00:00:00, dtype: float64",0.02327,Medium
RGL,"Ticker
RGL.NS   108.79
Name: 2025-04-07 00:00:00, dtype: float64",0.03535,High
IMFA,"Ticker
IMFA.NS   592.65
Name: 2025-04-07 00:00:00, dtype: float64",0.02906,Medium
TIMESGTY,"Ticker
TIMESGTY.NS   186.82
Name: 2025-04-07 00:00:00, dtype: float64",0.03436,High
MOHITIND,"Ticker
MOHITIND.NS   27.92
Name: 2025-04-07 00:00:00, dtype: float64",0.03623,High
OBEROIRLTY,"Ticker
OBEROIRLTY.NS   1483.25
Name: 2025-04-07 00:00:00, dtype: float64",0.02464,Medium
SWSOLAR,"Ticker
SWSOLAR.NS   240.80
Name: 2025-04-07 00:00:00, dtype: float64",0.03441,High
MANAKALUCO,"Ticker
MANAKALUCO.NS   20.93
Name: 2025-04-07 00:00:00, dtype: float64",0.04405,High
DEVIT,"Ticker
DEVIT.NS   103.17
Name: 2025-04-07 00:00:00, dtype: float64",0.03595,High
BHARATWIRE,"Ticker
BHARATWIRE.NS   179.77
Name: 2025-04-07 00:00:00, dtype: float64",0.03719,High
SAFARI,"Ticker
SAFARI.NS   1928.40
Name: 2025-04-07 00:00:00, dtype: float64",0.02421,Medium
GREAVESCOT,"Ticker
GREAVESCOT.NS   181.24
Name: 2025-04-07 00:00:00, dtype: float64",0.04373,High
SIMBHALS,"Ticker
SIMBHALS.NS   12.80
Name: 2025-04-07 00:00:00, dtype: float64",0.02587,Medium
MAZDA,"Ticker
MAZDA.NS   239.12
Name: 2025-04-07 00:00:00, dtype: float64",0.03559,High
KIRLOSBROS,"Ticker
KIRLOSBROS.NS   1629.70
Name: 2025-04-07 00:00:00, dtype: float64",0.03444,High
ONESOURCE,"Ticker
ONESOURCE.NS   1376.40
Name: 2025-04-07 00:00:00, dtype: float64",0.03562,High
SEPC,"Ticker
SEPC.NS   13.70
Name: 2025-04-07 00:00:00, dtype: float64",0.03798,High
APTECHT,"Ticker
APTECHT.NS   111.43
Name: 2025-04-07 00:00:00, dtype: float64",0.03478,High
SAKHTISUG,"Ticker
SAKHTISUG.NS   20.68
Name: 2025-04-07 00:00:00, dtype: float64",0.03179,High
BATAINDIA,"Ticker
BATAINDIA.NS   1180.90
Name: 2025-04-07 00:00:00, dtype: float64",0.01794,Medium
TRACXN,"Ticker
TRACXN.NS   51.08
Name: 2025-04-07 00:00:00, dtype: float64",0.02738,Medium
LASA,"Ticker
LASA.NS   17.29
Name: 2025-04-07 00:00:00, dtype: float64",0.03661,High
KRN,"Ticker
KRN.NS   757.40
Name: 2025-04-07 00:00:00, dtype: float64",0.04523,High
MAHESHWARI,"Ticker
MAHESHWARI.NS   56.03
Name: 2025-04-07 00:00:00, dtype: float64",0.02448,Medium
MARINE,"Ticker
MARINE.NS   163.31
Name: 2025-04-07 00:00:00, dtype: float64",0.03774,High
NGIL,"Ticker
NGIL.NS   31.44
Name: 2025-04-07 00:00:00, dtype: float64",0.02602,Medium
VRAJ,"Ticker
VRAJ.NS   154.76
Name: 2025-04-07 00:00:00, dtype: float64",0.02864,Medium
MTARTECH,"Ticker
MTARTECH.NS   1248.65
Name: 2025-04-07 00:00:00, dtype: float64",0.03076,High
BESTAGRO,"Ticker
BESTAGRO.NS   284.75
Name: 2025-04-07 00:00:00, dtype: float64",0.03561,High
63MOONS,"Ticker
63MOONS.NS   731.35
Name: 2025-04-07 00:00:00, dtype: float64",0.04047,High
INDOTHAI,"Ticker
INDOTHAI.NS   1960.95
Name: 2025-04-07 00:00:00, dtype: float64",0.02512,Medium
TDPOWERSYS,"Ticker
TDPOWERSYS.NS   358.85
Name: 2025-04-07 00:00:00, dtype: float64",0.03139,High
GANGOTRI,"Ticker
GANGOTRI.NS   0.73
Name: 2025-04-07 00:00:00, dtype: float64",0.01913,Medium
ATAM,"Ticker
ATAM.NS   82.37
Name: 2025-04-07 00:00:00, dtype: float64",0.03091,High
DCXINDIA,"Ticker
DCXINDIA.NS   217.12
Name: 2025-04-07 00:00:00, dtype: float64",0.0308,High
